id;name;1992K1;1992K2;1992K3;1992K4;1993K1;1993K2;1993K3;1993K4;1994K1;1994K2;1994K3;1994K4;1995K1;1995K2;1995K3;1995K4;1996K1;1996K2;1996K3;1996K4;1997K1;1997K2;1997K3;1997K4;1998K1;1998K2;1998K3;1998K4;1999K1;1999K2;1999K3;1999K4;2000K1;2000K2;2000K3;2000K4;2001K1;2001K2;2001K3;2001K4;2002K1;2002K2;2002K3;2002K4;2003K1;2003K2;2003K3;2003K4;2004K1;2004K2;2004K3;2004K4;2005K1;2005K2;2005K3;2005K4;2006K1;2006K2;2006K3;2006K4;2007K1;2007K2;2007K3;2007K4;2008K1;2008K2;2008K3;2008K4;2009K1;2009K2;2009K3;2009K4;2010K1;2010K2;2010K3;2010K4;2011K1;2011K2;2011K3;2011K4;2012K1;2012K2;2012K3;2012K4;2013K1;2013K2;2013K3;2013K4;2014K1;2014K2;2014K3;2014K4;2015K1;2015K2;2015K3;2015K4;2016K1;2016K2;2016K3;2016K4;2017K1;2017K2;2017K3;2017K4;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3
101;København;5843;5935;5701;5638;5322;5314;5519;5417;5435;5288;5280;5252;5382;5436;5766;5709;5958;6420;6310;6333;6773;7151;7372;7708;8089;8547;9046;9475;10271;10706;11220;11172;11657;12329;12528;13035;13656;14518;15348;15254;15935;16273;16655;16501;17636;17591;17557;17665;18550;19200;20224;21083;22480;24659;27399;29501;30086;31849;31430;29282;27788;27182;26925;25840;24767;24458;23293;21232;20030;20479;20580;21530;22321;23326;23164;23252;23559;23268;21939;22269;22160;22214;22855;23457;24451;25825;25897;26459;26590;27538;27964;27922;29414;31393;31651;31895;32384;34213;34706;35249;36329;37525;39046;39182;40236;40592;40055;39558;40142;39742;39705;40769;41177;42114;42726
147;Frederiksberg;6529;6520;6386;6512;6173;6263;6394;6490;6404;6414;6557;6618;6657;6866;6843;7110;7269;7737;7991;8029;8700;8957;9128;9574;9813;10609;10953;10886;11708;12281;12995;13067;13044;13666;13948;14216;15249;15886;16250;16543;17241;17422;17742;17632;17707;17826;18647;18306;18914;19810;20688;21942;23669;26155;28129;30728;33761;34662;33368;32001;30660;30303;29426;27946;26969;26872;25590;23079;21673;22047;23464;23923;24638;25438;26537;26005;27111;27324;25410;25755;25776;26116;26437;27376;28964;29594;29872;30742;31410;32356;32662;33390;34775;36379;37273;37356;38781;39386;39721;40258;40603;43323;43368;43524;44973;45220;44879;42887;43779;44185;45242;44085;44614;46201;48538
155;Dragør;0;0;0;0;0;0;0;7686;0;0;0;8982;10328;0;0;0;9932;9128;11301;0;0;10174;0;0;13149;11092;13721;0;0;0;0;0;0;15560;0;0;19343;18980;16483;0;0;0;18646;0;17363;19705;23724;21533;0;23456;0;21420;21115;24714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22341;0;0;20882;25563;0;21529;0;0;0;0;0;23810;20493;23746;0;0;23291;23224;0;0;24114;25921;0;30003;25711;29489;0;29887;34476;29552;29825;33596;31142;33623;31856;34109;0;0;32706;34644;37000;32843;33916
185;Tårnby;6912;6440;5899;6256;5532;5505;7042;6085;6320;6860;5691;5908;5744;5813;6350;5992;6019;6738;6161;6776;7139;7228;6084;8500;8757;8375;9011;9213;10090;10619;10811;11597;12066;12181;13118;13499;13795;13964;15148;15090;15773;14605;15837;16917;16396;16550;17368;17090;17293;17632;18929;18835;19725;20331;23716;25129;26866;27440;28154;26823;24719;24690;24420;23432;23106;23101;21987;16711;16926;15989;18473;17211;18374;18143;18052;18064;18510;19312;19927;17291;17366;17066;17115;17707;19337;20822;19178;20147;19804;21553;22073;21018;23087;23112;24718;25252;24791;27495;26919;28849;28937;29767;30079;31662;31830;32440;32189;32577;32529;32861;32118;31669;30656;32841;33189
165;Albertslund;7024;7154;7190;6111;6292;0;5113;4902;5055;5891;5146;5735;5875;6332;4928;6795;6684;6228;6804;6988;6450;7387;7881;8094;7236;8147;8210;9091;9337;9902;9835;10027;10089;10844;10179;10171;10370;11650;12774;12582;14353;15017;14081;14283;14330;14736;15034;13469;13178;13972;13837;14490;15043;15968;0;18275;22238;21243;22871;23131;21429;20228;18349;20070;17970;22465;18037;0;17397;0;0;0;0;14153;16053;15339;0;13241;0;0;14830;12440;0;12075;11944;12954;12884;10996;0;0;12566;14282;16553;16406;15321;17556;17238;19952;18229;18381;19930;19019;19789;21143;21249;21608;20898;23553;21053;23800;22796;23586;22666;23539;22477
151;Ballerup;6704;5846;6774;6258;5030;6526;10008;6227;6895;7344;7451;6039;6212;5772;6632;7147;6246;6522;6877;7137;8083;7918;8438;8736;8812;8480;8818;9575;9404;10993;10181;10932;11175;11755;11136;11524;11883;11735;11549;13873;13410;13510;13745;13838;14513;14752;15037;14071;15394;16228;16659;16322;17062;16972;18178;21792;22706;24458;22389;21825;23683;21490;22909;23218;19720;21943;20743;17813;17908;16355;15746;16915;16518;19926;20329;18386;20061;18018;18846;15230;15054;15320;14996;14803;16155;17689;16221;18150;17602;16369;17939;16862;20209;21154;22554;20816;21857;22321;24534;23969;22878;24259;25314;25164;27974;27666;25682;25759;27278;26775;27054;26024;26675;26831;28418
153;Brøndby;0;6964;0;6050;6308;0;5880;0;0;5616;5292;6105;6149;6709;7157;6183;6474;0;6570;6440;6754;7073;7740;6980;6693;7930;8062;7863;8641;9387;9433;9057;9190;10162;9908;9879;11784;11283;11920;12231;12803;12708;13406;13601;13323;14664;14786;0;15072;0;0;14704;15967;0;17812;0;20622;22911;0;23030;21949;0;0;0;0;0;0;0;0;0;13233;0;0;0;0;0;0;0;0;0;0;14620;0;0;0;15109;0;0;0;0;0;0;0;18273;0;0;19839;18995;19191;18528;19183;21082;19725;21397;21724;22986;23725;21034;22382;23094;25967;27284;24228;0;24228
157;Gentofte;7399;7402;7767;6981;7289;7309;8075;7123;7838;7859;7552;8022;7507;7812;8060;8068;8392;8734;9009;8887;9170;9461;9970;9883;10688;11081;11001;11490;11820;12722;12838;12955;13610;14104;15031;14597;15334;16378;17015;16472;17483;17484;17538;18139;17699;17665;18124;18333;19615;20891;21633;23135;24694;26426;29127;30935;33134;35900;35992;32755;31705;32830;31935;30849;31607;30488;30154;28628;23877;21643;22857;25120;23622;24911;24977;27336;24960;25625;23882;24078;24021;24256;23421;24388;25281;26505;28098;27198;27091;29185;28051;27999;29571;31181;30977;31378;32831;33207;34007;34420;33190;35869;36455;37781;37555;37229;38220;38076;38812;39162;38736;39506;41007;39822;41600
159;Gladsaxe;6942;6811;6825;6345;6059;6652;6832;6321;7090;6522;6412;6207;6053;6344;6707;6897;7072;7479;7684;7628;7894;8219;8696;8446;9152;10039;9620;10179;10312;11111;10582;11006;11433;12661;12874;13021;13588;14333;15174;15170;15258;15934;16262;16410;16866;16281;17234;16637;17476;18360;18530;18448;19111;20975;21911;23663;26178;28026;28644;26932;26081;24768;24290;22421;22320;20715;18811;18767;16683;16617;17701;17771;18052;18531;18324;18017;19008;17370;16905;15765;15948;16768;16313;15294;16656;17239;18409;18431;18242;18433;19041;20124;20037;21502;21554;22470;23134;23964;24319;24801;26417;26557;27441;27211;28539;28894;29244;28734;29422;29443;29803;29108;30505;30884;30476
161;Glostrup;8427;6863;5545;5942;5972;5894;6387;5953;5801;5783;6063;5763;6058;6029;7947;5906;6534;7328;6739;6634;6912;7427;7786;7775;7986;8338;9092;9118;9119;9929;10265;9567;10368;10454;10748;11716;12487;12844;12561;13176;13127;13978;14425;13035;13889;15456;14483;15113;15488;15253;15205;15592;16268;17627;19044;20337;23307;23806;24924;23468;24219;22103;20586;19255;19491;18942;18362;0;14056;15224;14586;16408;15724;16085;16073;14932;15704;16665;14505;14818;14135;15674;14610;14865;15217;16647;15812;15168;15458;17775;15951;16399;16576;17630;19050;18675;18843;20788;20599;21709;22716;22977;24090;23723;24308;25888;25646;25107;25430;25347;26191;25558;25890;26350;26938
